Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
7s,2S,1/2,5p,2P,1/2,728.2002,0.0005,728.2002(5),0.952929,0.0053152,0.9529(53),2382352.320295954,26576.33311340107,2.382(27)E+06,0.21020100443393774,0.0021102145992011457,0.2102(21),,
7s,2S,1/2,5p,2P,3/2,741.0211,0.0006,741.0211(6),1.349811,0.0079815,1.3498(80),4536192.509044334,53645.46780946288,4.536(54)E+06,0.4002398023094967,0.003010011680753834,0.4002(30),,
7s,2S,1/2,6p,2P,1/2,3851.5519,0.021,3851.55(2),9.2265118,0.0124474,9.227(12),1509402.6779719307,4072.716653469512,1.5094(41)E+06,0.13317843725379822,0.0007765025575772056,0.13318(78),,
7s,2S,1/2,6p,2P,3/2,3970.072,0.0223,3970.07(2),13.39699,0.020612,13.397(21),2905739.1547069573,8941.410500867729,2.9057(89)E+06,0.2563807560027674,0.0014787543535034508,0.2564(15),,
7p,2P,1/2,7s,2S,1/2,6563.4757,0.0609,6563.48(6),16.886978,0.039139,16.887(39),1021737.9890713459,4736.255850782271,1.0217(47)E+06,0.2835579813437642,0.008209080741413218,0.2836(82),,
7p,2P,3/2,7s,2S,1/2,6415.7139,0.0582,6415.71(6),23.653004,0.058458,23.653(58),1073111.7827710053,5304.435696592261,1.0731(53)E+06,0.2737415475529432,0.0068420393621697415,0.2737(68),,
8p,2P,1/2,7s,2S,1/2,2838.0847,0.0114,2838.08(1),1.8583237,0.0185202,1.858(19),153039.65553312763,3050.411019763739,1.530(31)E+05,0.07723647794628828,0.0020675302951449143,0.0772(21),,
8p,2P,3/2,7s,2S,1/2,2822.9824,0.0113,2822.98(1),2.8197997,0.0252835,2.820(25),179027.3349533944,3210.468203232428,1.790(32)E+05,0.0836715576960476,0.001997918267434297,0.0837(20),,
9p,2P,1/2,7s,2S,1/2,2151.707,0.0065,2151.707(7),0.7521203,0.0137104,0.752(14),57525.78564444645,2097.275012698114,5.75(21)E+04,0.04716023810644853,0.0017895348801152786,0.0472(18),,
9p,2P,3/2,7s,2S,1/2,2146.4971,0.0065,2146.497(7),1.174563,0.0143531,1.175(14),70659.24683152391,1726.9049097604461,7.07(17)E+04,0.05386960586004799,0.0014567353355081005,0.0539(15),,
