Initial Configuration,Initial term,Initial J,Final configuration,Final term,Final J,Wavelength (nm),Wavelength error (nm),Wavelength w/uncertainty (nm),Matrix element (a.u),Matrix el. uncertainty (a.u),Matrix el. w/uncertainty (a.u),Transition rate (s-1),Transition rate uncertainty,Transition rate w/uncertainty (s-1),Branching ratio,Branching ratio uncertainty,Branching ratio w/uncertainty,Lifetime reference,Matrix Element Reference
5s.5d,3D,2,5s.5p,1P,1,750.551,0.001,750.5514(7),0.22278,0.01613,0.223(16),47567.27787573769,6888.052719525464,4.76(69)E+04,0.0007709705933296804,0.0001130821640587555,0.00077(11),,
5s.5d,3D,2,4d.5p,3F,2,5697.558,0.04,5697.56(4),0.39831,0.02628,0.398(26),347.59500741242823,45.8677759089843,3.48(46)E+02,0.000005633821001976738,7.556373224987917e-7,0.00000563(76),,
5s.5d,3D,2,4d.5p,3F,3,6981.875,0.068,6981.88(7),2.0025,0.12647,2.00(13),4774.480621030024,603.0747368756804,4.77(60)E+03,0.00007738479731492291,0.000009949065858861107,0.0000774(99),,
5s.5d,3D,2,4d.5p,1D,2,8367.571,0.087,8367.57(9),2.09753,0.92159,2.10(92),3043.094941026537,2674.084154665194,3.0(27)E+03,0.00004932249262551254,0.00004335561707995335,0.000049(43),,
5s.5d,3D,2,5s.6p,3P,1,8667.975,0.101,8668.0(1),13.26412,0.30202,13.26(30),109471.54415113913,4985.269359000277,1.095(50)E+05,0.001774315140912636,0.00009122558167067759,0.001774(91),,
5s.5d,3D,2,5s.6p,3P,2,9533.579,0.115,9533.6(1),7.92881,0.13794,7.93(14),29399.868759097953,1022.9580706251903,2.94(10)E+04,0.00047651316773327055,0.000020140725809578008,0.000477(20),,
5s.5d,3D,2,5s.6p,1P,1,10827.374,0.157,10827.4(2),4.86846,0.53171,4.87(53),7566.780354469018,1652.8154127015214,7.6(17)E+03,0.00012264240040643436,0.000026947062397518347,0.000123(27),,
4d.5p,3D,1,5s.5d,3D,2,8050.48,0.093,8050.48(9),0.7768,0.02228,0.777(22),781.0866297630951,44.805904446700495,7.81(45)E+02,0.000010451459225219157,6.123363880214645e-7,0.00001045(61),,
4d.5p,3D,2,5s.5d,3D,2,7354.255,0.078,7354.26(8),0.82843,0.02361,0.828(24),699.1861995382274,39.85318914840939,6.99(40)E+02,0.000009290351754729623,5.427217598430909e-7,0.00000929(54),,
4d.5p,3D,3,5s.5d,3D,2,6504.052,0.057,6504.05(6),0.46866,0.02195,0.469(22),231.0643573633115,21.644103801916177,2.31(22)E+02,0.0000030383414332283377,2.851595504732037e-7,0.00000304(29),,
4d.5p,3P,1,5s.5d,3D,2,4384.538,0.026,4384.54(3),4.36425,0.10812,4.36(11),152613.78870384308,7561.713420730233,1.526(76)E+05,0.0017694470168781304,0.00009085411431906244,0.001769(91),,
4d.5p,3P,2,5s.5d,3D,2,4320.397,0.024,4320.40(2),2.60958,0.04548,2.610(45),34219.01509206903,1192.74441424498,3.42(12)E+04,0.0004002356693233112,0.000014815373184338176,0.000400(15),,
4d.5p,1F,3,5s.5d,3D,2,3349.239,0.022,3349.24(2),0.62216,0.06957,0.622(70),2982.1883611127973,666.937267223988,2.98(67)E+03,0.0008940959702793473,0.0002552838590530584,0.00089(26),,
